title,externalPath,job_family,reason
Visiting Assistant Teaching Professor of Art History (Early Modern European Art History - Renaissance and Baroque),/job/William--Mary/Visiting-Assistant-Teaching-Professor-of-Art-History--Early-Modern-European-Art-History---Renaissance-and-Baroque-_JR101357,Faculty - Non-Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Visiting Assistant Teaching Professor of Theatre & Performance (Costume),/job/Phi-Beta-Kappa-Hall/Visiting-Assistant-Teaching-Professor-of-Theatre---Performance--Costume-_JR101518,Faculty - Non-Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Visiting Assistant Teaching Professor of Art History (Asian Art),/job/William--Mary/Visiting-Assistant-Teaching-Professor-of-Art-History--Asian-Art-_JR101358,Faculty - Non-Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Associate or Full Professor of Government (International Security),/job/William--Mary/Associate-or-Full-Professor-of-Government--International-Security-_JR101516,Faculty - Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Visiting Assistant Teaching Professor of Theatre and Performance,/job/Phi-Beta-Kappa-Hall/Visiting-Assistant-Teaching-Professor-of-Theatre-and-Performance_JR101511,Faculty - Non-Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Visiting Assistant Teaching Professor of Modern Languages & Literatures (Hispanic Studies),/job/William--Mary/Visiting-Assistant-Teaching-Professor-of-Modern-Languages---Literatures--Hispanic-Studies-_JR101356,Faculty - Non-Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
"Visiting Assistant Teaching Professor of Modern Languages and Literatures (Modern Chinese Studies, Cultural Studies, Film, Popular Culture)",/job/William--Mary/Visiting-Assistant-Teaching-Professor-of-Modern-Languages-and-Literatures--Modern-Chinese-Studies--Cultural-Studies--Film--Popular-Culture-_JR101334,Faculty - Non-Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Visiting Assistant Teaching Professor of Neuroscience (Cellular or Molecular Neuroscience),/job/William--Mary/Visiting-Assistant-Teaching-Professor-of-Neuroscience--Cellular-or-Molecular-Neuroscience-_JR101394,Faculty - Non-Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Assistant Professor of Finance,/job/Miller-Hall/Assistant-Professor-of-Finance_JR101505,Faculty - Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Adjunct Professor - Management Area Pooled Position-1,/job/Miller-Hall/Adjunct-Professor---Management-Area-Pooled-Position-1_JR101507,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Associate Teaching Professor of Data Science,/job/Posting-Location---William--Mary/Associate-Teaching-Professor-of-Data-Science_JR101498-1,Faculty - Non-Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Batten Chair in Coastal & Marine Sciences,/job/Virginia-Institute-of-Marine-Science/Batten-Chair-in-Coastal---Marine-Sciences_JR101079,Faculty - Tenure Track (12 months),bulletFields contains faculty (case-insensitive)
Postdoctoral Research Associate of Anthropology (North American Archaeology),/job/William--Mary/Postdoctoral-Research-Fellow-of-Anthropology-North_JR101412,Faculty - Postdoctoral Research Associate (12 months),bulletFields contains faculty (case-insensitive)
Adjunct Faculty Pooled Position - Marketing Area,/job/William--Mary/Adjunct-Faculty-Pooled-Position---Marketing-Area_JR101470,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Visiting Instructor/Assistant Professor of Curriculum & Instruction,/job/William--Mary/Visiting-Instructor-Assistant-Professor-of-Curriculum---Instruction_JR101431,Faculty - Non-Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
English Language Program Adjunct,/job/William--Mary/English-Language-Program-Adjunct_JR101401,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Adjunct Faculty (Section Lead) Pool - Online Accounting Courses-1,/job/Remote-Work---Virginia/Adjunct-Faculty--Section-Lead--Pool---Online-Accounting-Courses-1_JR101417,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Assistant Professor - Accounting,/job/Miller-Hall/Assistant-Professor---Accounting_JR101391,Faculty - Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Postdoctoral Fellow of Neuroscience (Applied Science),/job/William--Mary/Postdoctoral-Fellow-of-Neuroscience--Applied-Science-_JR101360,Faculty - Postdoctoral Research Associate (12 months),bulletFields contains faculty (case-insensitive)
Postdoctoral Researcher,/job/Virginia-Institute-of-Marine-Science/Postdoctoral-Researcher_JR101341,Faculty - Postdoctoral Research Associate (12 months),bulletFields contains faculty (case-insensitive)
Visiting Assistant Teaching Professor of English (Modern and Contemporary Poetry),/job/Tucker-Hall/Visiting-Assistant-Teaching-Professor-of-English--Modern-and-Contemporary-Poetry-_JR101343,Faculty - Non-Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Mellon Postdoctoral Research Fellow of Environment & Sustainability,/job/William--Mary/Mellon-Postdoctoral-Research-Fellow-of-Environment---Sustainability_JR101311,Faculty - Postdoctoral Research Associate (Less than 12 months),bulletFields contains faculty (case-insensitive)
Postdoctoral Research Associate of Physics (Theoretical Quantum Matter),/job/William--Mary/Postdoctoral-Research-Associate-of-Physics--Theoretical-Quantum-Matter-_JR101257,Faculty - Postdoctoral Research Associate (12 months),bulletFields contains faculty (case-insensitive)
Assistant/Associate Professor of Counselor Education-1,/job/School-Of-Education/Assistant-Associate-Professor-of-Counselor-Education-1_JR101135,Faculty - Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Assistant Professor of Physics,/job/William--Mary/Assistant-Professor-of-Physics_JR101124,Faculty - Tenure Track (Less than 12 months),bulletFields contains faculty (case-insensitive)
Adjunct Professor of Theatre & Performance,/job/William--Mary/Adjunct-Professor-of-Theatre---Performance_JR101057,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
Clinical Instructor of Curriculum and Instruction,/job/William--Mary/Clinical-Instructor-of-Curriculum-and-Instruction_JR101045,Faculty - Non-Tenure Track (12 months),bulletFields contains faculty (case-insensitive)
Adjunct Faculty - Educational Planning Policy & Leadership (EPPL)-5,/job/William--Mary/Adjunct-Faculty---Educational-Planning-Policy---Leadership--EPPL--5_JR101020,Faculty - Adjunct,bulletFields contains faculty (case-insensitive)
